DATE,TOTBKCR
1985-05-08,1745.841
1985-05-15,1753.9489
1985-05-22,1756.6636
1985-05-29,1757.4983
1985-06-05,1762.1374
1985-06-12,1765.8707
1985-06-19,1772.5337
1985-06-26,1775.0019
1985-07-03,1779.8094
1985-07-10,1780.3514
1985-07-17,1782.3517
1985-07-24,1782.6521
1985-07-31,1786.0125
1985-08-07,1784.607
1985-08-14,1788.6627
1985-08-21,1793.7579
1985-08-28,1795.1433
1985-09-04,1798.5232
1985-09-11,1804.4972
1985-09-18,1804.7361
1985-09-25,1811.1976
1985-10-02,1808.9533
1985-10-09,1811.4992
1985-10-16,1810.2104
1985-10-23,1810.9989
1985-10-30,1815.5958
1985-11-06,1825.3009
1985-11-13,1826.4193
1985-11-20,1836.9045
1985-11-27,1842.3976
1985-12-04,1841.8719
1985-12-11,1845.4442
1985-12-18,1858.0727
1985-12-25,1859.0222
1986-01-01,1879.3839
1986-01-08,1880.9087
1986-01-15,1886.4377
1986-01-22,1883.828
1986-01-29,1882.252
1986-02-05,1883.9601
1986-02-12,1883.6769
1986-02-19,1887.8632
1986-02-26,1892.1252
1986-03-05,1893.0054
1986-03-12,1897.705
1986-03-19,1901.0372
1986-03-26,1901.0485
1986-04-02,1909.2386
1986-04-09,1913.8735
1986-04-16,1913.4521
1986-04-23,1911.0963
1986-04-30,1918.2698
1986-05-07,1918.1078
1986-05-14,1921.9482
1986-05-21,1923.2115
1986-05-28,1928.0454
1986-06-04,1928.0882
1986-06-11,1930.2921
1986-06-18,1930.7077
1986-06-25,1940.8758
1986-07-02,1944.3691
1986-07-09,1947.5875
1986-07-16,1956.5753
1986-07-23,1962.1597
1986-07-30,1963.035
1986-08-06,1969.4887
1986-08-13,1968.5722
1986-08-20,1974.652
1986-08-27,1986.7382
1986-09-03,1992.8444
1986-09-10,1991.7032
1986-09-17,1998.1236
1986-09-24,1996.0707
1986-10-01,2002.6087
1986-10-08,1995.9397
1986-10-15,1997.0745
1986-10-22,1998.8158
1986-10-29,2001.0702
1986-11-05,2006.5534
1986-11-12,2017.5182
1986-11-19,2013.1546
1986-11-26,2027.0571
1986-12-03,2031.4786
1986-12-10,2037.3839
1986-12-17,2040.2521
1986-12-24,2065.9249
1986-12-31,2080.3563
1987-01-07,2076.6044
1987-01-14,2069.9853
1987-01-21,2072.0978
1987-01-28,2078.4781
1987-02-04,2073.5964
1987-02-11,2073.4827
1987-02-18,2075.4648
1987-02-25,2079.6712
1987-03-04,2082.7541
1987-03-11,2083.0975
1987-03-18,2088.0089
1987-03-25,2087.3566
1987-04-01,2100.8137
1987-04-08,2106.0031
1987-04-15,2112.5959
1987-04-22,2114.818
1987-04-29,2116.3689
1987-05-06,2117.3115
1987-05-13,2115.9758
1987-05-20,2123.0488
1987-05-27,2125.6894
1987-06-03,2125.0109
1987-06-10,2128.8511
1987-06-17,2130.5481
1987-06-24,2129.9774
1987-07-01,2125.362
1987-07-08,2131.5324
1987-07-15,2135.3756
1987-07-22,2133.2249
1987-07-29,2136.9644
1987-08-05,2140.7346
1987-08-12,2145.6374
1987-08-19,2144.4695
1987-08-26,2148.801
1987-09-02,2149.4209
1987-09-09,2161.5976
1987-09-16,2167.5674
1987-09-23,2170.9286
1987-09-30,2179.1834
1987-10-07,2171.883
1987-10-14,2174.4435
1987-10-21,2186.897
1987-10-28,2189.6989
1987-11-04,2181.7999
1987-11-11,2182.7534
1987-11-18,2184.9494
1987-11-25,2185.4408
1987-12-02,2187.0436
1987-12-09,2194.4359
1987-12-16,2197.0117
1987-12-23,2200.4822
1987-12-30,2202.8578
1988-01-06,2206.9578
1988-01-13,2209.4209
1988-01-20,2210.7689
1988-01-27,2216.9564
1988-02-03,2219.2307
1988-02-10,2217.1541
1988-02-17,2220.683
1988-02-24,2221.542
1988-03-02,2230.0043
1988-03-09,2233.4633
1988-03-16,2237.1067
1988-03-23,2237.8088
1988-03-30,2245.3387
1988-04-06,2258.9172
1988-04-13,2252.1224
1988-04-20,2259.7211
1988-04-27,2263.7946
1988-05-04,2270.543
1988-05-11,2276.9846
1988-05-18,2274.7495
1988-05-25,2285.3572
1988-06-01,2289.5509
1988-06-08,2292.4637
1988-06-15,2297.6666
1988-06-22,2300.3632
1988-06-29,2304.768
